iter	Passed	Remaining
864	1495	233
865	1497	231
866	1498	229
867	1500	228
868	1502	226
869	1504	224
870	1505	223
871	1507	221
872	1508	219
873	1510	217
874	1512	216
875	1514	214
876	1515	212
877	1517	210
878	1519	209
879	1520	207
880	1522	205
881	1524	203
882	1525	202
883	1527	200
884	1529	198
885	1530	196
886	1532	195
887	1533	193
888	1535	191
889	1537	190
890	1538	188
891	1540	186
892	1542	184
893	1543	183
894	1545	181
895	1547	179
896	1548	177
897	1550	176
898	1552	174
899	1553	172
900	1555	170
901	1557	169
902	1558	167
903	1560	165
904	1562	163
905	1563	162
906	1565	160
907	1567	158
908	1569	157
909	1570	155
910	1572	153
911	1574	151
912	1575	150
913	1577	148
914	1579	146
915	1580	144
916	1582	143
917	1584	141
918	1585	139
919	1587	138
920	1589	136
921	1590	134
922	1592	132
923	1594	131
924	1595	129
925	1597	127
926	1599	125
927	1600	124
928	1602	122
929	1604	120
930	1605	119
931	1607	117
932	1609	115
933	1610	113
934	1612	112
935	1613	110
936	1615	108
937	1617	106
938	1618	105
939	1620	103
940	1622	101
941	1624	99
942	1625	98
943	1627	96
944	1628	94
945	1630	93
946	1632	91
947	1634	89
948	1635	87
949	1637	86
950	1639	84
951	1640	82
952	1642	81
953	1644	79
954	1645	77
955	1647	75
956	1649	74
957	1650	72
958	1652	70
959	1654	68
960	1655	67
961	1657	65
962	1659	63
963	1660	62
964	1662	60
965	1664	58
966	1665	56
967	1667	55
968	1669	53
969	1671	51
970	1673	49
971	1678	48
972	1680	46
973	1682	44
974	1683	43
975	1685	41
976	1687	39
977	1688	37
978	1690	36
979	1692	34
980	1693	32
981	1695	31
982	1697	29
983	1698	27
984	1700	25
985	1702	24
986	1703	22
987	1705	20
988	1706	18
989	1708	17
990	1710	15
991	1711	13
992	1713	12
993	1715	10
994	1716	8
995	1718	6
996	1720	5
997	1721	3
998	1723	1
999	1725	0
